iter	Passed	Remaining
0	159	159116
1	163	81489
2	168	56155
3	172	42921
4	178	35453
5	184	30496
6	189	26930
7	196	24343
8	200	22103
9	207	20570
10	215	19412
11	222	18289
12	228	17331
13	233	16448
14	238	15691
15	245	15078
16	250	14487
17	256	13978
18	261	13525
19	268	13145
20	274	12812
21	281	12523
22	287	12215
23	292	11910
24	299	11696
25	304	11422
26	310	11178
27	316	10978
28	336	11278
29	342	11060
30	348	10891
31	354	10711
32	359	10536
33	366	10426
34	372	10262
35	377	10111
36	383	9977
37	388	9829
38	395	9753
39	402	9664
40	409	9572
41	415	9469
42	420	9360
43	425	9255
44	431	9160
45	436	9062
46	443	8993
47	448	8903
48	454	8822
49	460	8754
50	466	8674
51	471	8593
52	477	8523
53	482	8450
54	488	8392
55	493	8322
56	498	8252
57	505	8203
58	510	8140
59	515	8083
60	522	8036
61	527	7976
62	532	7927
63	539	7889
64	544	7838
65	550	7784
66	555	7733
67	560	7686
68	566	7639
69	572	7599
70	578	7564
71	584	7529
72	589	7485
73	595	7448
74	601	7420
75	606	7377
76	612	7338
77	618	7310
78	623	7270
79	627	7218
80	631	7169
81	637	7139
82	644	7125
83	650	7091
84	656	7065
85	661	7034
86	667	7007
87	673	6981
88	679	6952
89	684	6921
90	690	6894
91	695	6867
92	701	6845
93	707	6823
94	714	6802
95	718	6765
96	723	6737
97	729	6710
98	735	6689
99	740	6666
100	746	6644
101	751	6620
102	757	6597
103	763	6576
104	768	6554
105	775	6539
106	780	6517
107	786	6496
108	792	6474
109	799	6465
110	806	6457
111	814	6456
112	820	6444
113	826	6419
114	830	6393
115	836	6374
116	840	6339
117	846	6323
118	851	6304
119	855	6274
120	860	6249
121	865	6229
122	870	6204
123	874	6180
124	881	6167
125	886	6151
126	893	6139
127	899	6124
128	903	6099
129	908	6081
130	913	6062
131	933	6138
132	938	6119
133	943	6099
134	950	6088
135	955	6068
136	960	6052
137	966	6038
138	971	6018
139	977	6006
140	981	5982
141	987	5969
142	993	5952
143	998	5935
144	1002	5910
145	1007	5891
146	1012	5872
147	1014	5841
148	1019	5821
149	1024	5802
150	1028	5780
151	1035	5778
152	1040	5760
153	1045	5741
154	1050	5726
155	1056	5718
156	1061	5700
157	1066	5681
158	1070	5662
159	1075	5645
160	1080	5630
161	1086	5620
162	1092	5607
163	1095	5584
164	1101	5571
165	1107	5564
166	1111	5544
167	1115	5522
168	1121	5512
169	1124	5490
170	1128	5469
171	1133	5457
172	1139	5448
173	1143	5429
174	1148	5413
175	1153	5402
176	1157	5383
177	1170	5406
178	1175	5392
179	1182	5384
180	1188	5376
181	1193	5364
182	1199	5353
183	1203	5338
184	1217	5364
185	1223	5354
186	1228	5341
187	1234	5332
188	1238	5313
189	1243	5301
190	1247	5285
191	1252	5270
192	1261	5275
193	1266	5263
194	1273	5255
195	1279	5247
196	1284	5234
197	1292	5233
198	1297	5224
199	1302	5211
200	1307	5198
201	1313	5188
202	1319	5181
203	1324	5170
204	1330	5159
205	1334	5144
206	1340	5135
207	1346	5125
208	1352	5118
209	1358	5111
210	1363	5099
211	1369	5089
212	1374	5078
213	1379	5066
214	1384	5055
215	1390	5047
216	1396	5037
217	1401	5026
218	1406	5016
219	1412	5007
220	1418	4998
221	1424	4992
222	1430	4982
223	1434	4970
224	1439	4957
225	1444	4946
226	1450	4937
227	1454	4926
228	1459	4913
229	1465	4904
230	1470	4895
231	1475	4884
232	1480	4874
233	1486	4864
234	1491	4854
235	1496	4845
236	1502	4836
237	1507	4826
238	1513	4817
239	1518	4808
240	1523	4798
241	1530	4792
242	1536	4786
243	1542	4777
244	1547	4769
245	1554	4765
246	1560	4756
247	1565	4747
248	1572	4742
249	1579	4738
250	1585	4731
251	1589	4717
252	1596	4714
253	1602	4706
254	1609	4702
255	1619	4705
256	1624	4697
257	1631	4691
258	1637	4683
259	1642	4674
260	1647	4664
261	1652	4655
262	1657	4645
263	1663	4638
264	1668	4628
265	1674	4620
266	1679	4610
267	1684	4601
268	1689	4591
269	1694	4582
270	1699	4572
271	1705	4563
272	1710	4555
273	1716	4547
274	1720	4536
275	1726	4528
276	1731	4518
277	1736	4509
278	1741	4499
279	1746	4491
280	1751	4482
281	1756	4473
282	1762	4464
283	1767	4455
284	1772	4447
285	1777	4438
286	1783	4431
287	1788	4421
288	1793	4412
289	1798	4403
290	1803	4394
291	1808	4386
292	1813	4377
293	1818	4367
294	1823	4358
295	1828	4348
296	1833	4339
297	1839	4333
298	1844	4324
299	1849	4315
300	1855	4310
301	1861	4302
302	1866	4293
303	1872	4286
304	1877	4277
305	1882	4270
306	1888	4262
307	1893	4254
308	1898	4245
309	1903	4237
310	1909	4229
311	1914	4222
312	1919	4213
313	1924	4205
314	1930	4198
315	1936	4191
316	1941	4184
317	1947	4177
318	1952	4168
319	1957	4159
320	1974	4177
321	1980	4169
322	1985	4160
323	1990	4153
324	1996	4146
325	2001	4138
326	2008	4134
327	2015	4129
328	2020	4121
329	2026	4113
330	2031	4106
331	2036	4098
332	2042	4091
333	2049	4086
334	2054	4078
335	2059	4070
336	2064	4061
337	2067	4050
338	2073	4042
339	2079	4036
340	2086	4031
341	2091	4024
342	2097	4017
343	2102	4009
344	2108	4002
345	2113	3995
346	2119	3989
347	2125	3982
348	2130	3974
349	2136	3967
350	2142	3961
351	2148	3954
352	2154	3948
353	2159	3941
354	2165	3934
355	2171	3927
356	2176	3920
357	2182	3914
358	2188	3906
359	2193	3899
360	2199	3893
361	2205	3886
